endpoint_index,port,location,connector,connector_pin,module_net,bank,io_type,source
44,cbus_mwc_n,N15,SO-DIMM-204,36,LVDS_RX4_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
45,cbus_mwe_n,N16,SO-DIMM-204,40,LVDS_RX3_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
46,cbus_bhe_n,N14,SO-DIMM-204,42,LVDS_RX3_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
47,cbus_reset_n,L16,SO-DIMM-204,44,LVDS_RX2_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
48,cbus_power_n,L14,SO-DIMM-204,46,LVDS_RX2_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
49,cbus_sclk,K15,SO-DIMM-204,50,LVDS_RX1_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
50,cbus_iordy,K14,SO-DIMM-204,52,LVDS_RX1_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
51,cbus_irq_selected,M15,SO-DIMM-204,73,LVDS_IOT40_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
52,cbus_dack_selected_n,L13,SO-DIMM-204,74,LVDS_IOT38_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
53,cbus_drq_selected_n,M14,SO-DIMM-204,75,LVDS_IOT40_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
54,cbus_word_n,K11,SO-DIMM-204,76,LVDS_IOT38_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
55,cbus_dmatc_n,K12,SO-DIMM-204,78,LVDS_IOT36_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
56,cbus_b40_exhrq1_n,K13,SO-DIMM-204,80,LVDS_IOT36_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
57,cbus_b47_exhrq2_n,E15,SO-DIMM-204,101,LVDS_IOT44_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
58,cbus_b42_exhla1_n,D14,SO-DIMM-204,103,LVDS_IOT44_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
59,cbus_b46_exhla2_n,L12,SO-DIMM-204,152,LVDS_IOT32_N,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
60,cbus_b48_sbusrq,J11,SO-DIMM-204,154,LVDS_IOT32_P,1,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
61,lvc_data_dir,T6,SO-DIMM-204,27,LVDS_IOR53_N,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
62,lvc_data_oe_n,P6,SO-DIMM-204,29,LVDS_IOR53_P,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
63,lvc_iordy_oe_n,T7,SO-DIMM-204,33,LVDS_IOR29_P,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
64,lvc_irq_oe_n,R8,SO-DIMM-204,35,LVDS_IOR29_N,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
65,lvc_word_oe_n,T8,SO-DIMM-204,39,LVDS_IOR42_N,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
66,lvc_addr_dir,P8,SO-DIMM-204,41,LVDS_IOR42_P,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
67,lvc_addr_oe_n,T9,SO-DIMM-204,45,LVDS_IOR38_P,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
68,lvc_cmd_dir,P9,SO-DIMM-204,47,LVDS_IOR38_N,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
69,lvc_cmd_oe_n,C10,SO-DIMM-204,135,C10_IOR39A,3,LVCMOS33,Tang_Primer_20K_SOM-3961_Schematic.pdf
