endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
30,cbus_db_05,cbus_signal,cbus_db_i/o/oe_req[5],data,bidir,SO-DIMM-204,121,B12_IOL7B,7,3.3V,io8_sync_min,tang_primer20k,
31,cbus_db_06,cbus_signal,cbus_db_i/o/oe_req[6],data,bidir,SO-DIMM-204,123,A12_IOL13B,7,3.3V,io8_sync_min,tang_primer20k,
32,cbus_db_07,cbus_signal,cbus_db_i/o/oe_req[7],data,bidir,SO-DIMM-204,125,C11_IOL15B,7,3.3V,io8_sync_min,tang_primer20k,
33,cbus_db_08,cbus_signal,cbus_db_i/o/oe_req[8],data,bidir,SO-DIMM-204,129,B11_IOL13A,7,3.3V,io16_sync_min,tang_primer20k,
34,cbus_db_09,cbus_signal,cbus_db_i/o/oe_req[9],data,bidir,SO-DIMM-204,131,A11_IOL15A,7,3.3V,io16_sync_min,tang_primer20k,
35,cbus_db_10,cbus_signal,cbus_db_i/o/oe_req[10],data,bidir,SO-DIMM-204,146,C9_IOL27B,7,3.3V,io16_sync_min,tang_primer20k,
36,cbus_db_11,cbus_signal,cbus_db_i/o/oe_req[11],data,bidir,SO-DIMM-204,148,A9_IOL27A,7,3.3V,io16_sync_min,tang_primer20k,
37,cbus_db_12,cbus_signal,cbus_db_i/o/oe_req[12],data,bidir,SO-DIMM-204,176,F10_IOL11A,7,3.3V,io16_sync_min,tang_primer20k,
38,cbus_db_13,cbus_signal,cbus_db_i/o/oe_req[13],data,bidir,SO-DIMM-204,180,D11_IOL22A,7,3.3V,io16_sync_min,tang_primer20k,
39,cbus_db_14,cbus_signal,cbus_db_i/o/oe_req[14],data,bidir,SO-DIMM-204,182,D10_IOL17A,7,3.3V,io16_sync_min,tang_primer20k,
40,cbus_db_15,cbus_signal,cbus_db_i/o/oe_req[15],data,bidir,SO-DIMM-204,186,E10_IOL17B,7,3.3V,io16_sync_min,tang_primer20k,
41,cbus_ior_n,cbus_signal,cbus_ior_n_i/o/oe_req,cmd_bidir,bidir,SO-DIMM-204,28,LVDS_RX5_N,1,3.3V,io8_sync_min,tang_primer20k,
42,cbus_iow_n,cbus_signal,cbus_iow_n_i/o/oe_req,cmd_bidir,bidir,SO-DIMM-204,30,LVDS_RX5_P,1,3.3V,io8_sync_min,tang_primer20k,
43,cbus_mrc_n,cbus_signal,cbus_mrc_n_i/o/oe_req,cmd_bidir,bidir,SO-DIMM-204,34,LVDS_RX4_N,1,3.3V,mem8_20bit_min,tang_primer20k,
44,cbus_mwc_n,cbus_signal,cbus_mwc_n_i/o/oe_req,cmd_bidir,bidir,SO-DIMM-204,36,LVDS_RX4_P,1,3.3V,mem8_20bit_min,tang_primer20k,
45,cbus_mwe_n,cbus_signal,cbus_mwe_n_i/o/oe_req,cmd_bidir,bidir,SO-DIMM-204,40,LVDS_RX3_P,1,3.3V,mem8_20bit_min,tang_primer20k,
46,cbus_bhe_n,cbus_signal,cbus_bhe_n_i/o/oe_req,cmd_bidir,bidir,SO-DIMM-204,42,LVDS_RX3_N,1,3.3V,io16_sync_min,tang_primer20k,
