connector,pin,net,kind,bank,io_voltage,cbus_assignable,source
BTB9900,47,BANK3_K22_IOR76B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,48,BANK3_K18_IOR83A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,49,BANK3_J22_IOR74A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,50,BANK3_K19_IOR83B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,51,BANK3_H22_IOR74B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,52,BANK3_H17_IOR96A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,53,BANK3_J20_IOR78A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,54,BANK3_H18_IOR96B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,55,BANK3_J21_IOR78B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,56,BANK3_J19_IOR80A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,57,BANK3_G17_IOR107A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,58,BANK3_H19_IOR80B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,59,BANK3_G18_IOR107B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,60,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,61,BANK10_N12_RECONFIG,configuration,10,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,62,BANK3_H20_IOR69A,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,63,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,64,BANK3_G20_IOR69B,gpio_bidir_3v3,3,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,65,BANK2_G21_IOR53A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,66,GND,ground,,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,67,BANK2_G22_IOR53B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,68,BANK2_F19_IOR33A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,69,BANK2_F18_IOR35A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,70,BANK2_F20_IOR33B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,71,BANK2_E18_IOR35B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,72,BANK2_F21_IOR55A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,73,BANK2_C22_IOR42A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,74,BANK2_E22_IOR49A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,75,BANK2_B22_IOR42B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,76,BANK2_D22_IOR49B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,77,BANK10_G11_DONE,configuration,10,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,78,BANK2_E21_IOR51A,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,79,BANK10_U12_READY,configuration,10,,no,tang_mega_138k_30353_Schematics.pdf sheet 6
BTB9900,80,BANK2_D21_IOR51B,gpio_bidir_3v3,2,3.3V,yes,tang_mega_138k_30353_Schematics.pdf sheet 6
